"","F2","F3","Q38","surveyYear"
"1279","you can get there in a few hours and family can join me.","I usually fish at harlan. Quite Stealing all the walley from the lake and Increase the amount of wipers over 16"" you can Keep,","I would like to see the money generated at a specific park to stay with that park and be used for upgrades to that Park instead of being sent to lincoln and omaha all the time.",2025
"1280","I really dont like fishing in Nebraska. It's very expensive and we rarely catch any fish that we're fishing for. Calamus, Merrit Reservoirs are terrible places to fish, but they are about the only lakes close enough for us. We would fish way more often ifwe knew we'd catch fish. Everyone goes to South Dakota here.","Stock your lakes with more walleye.","We used to catch our limits at Calamus 10 years ago. Now we're lucky to catch 1-2 walleye per day with 4 people, why? We love the area, close to home, but the fact that we never catch any walleye deters us from going.",2025
"1281","Easy access to water","None","None",2025
"1282","We love to fish and purchased a new boat last year, but have only used it a few times because our fishing here is Poor.","Stock the lakes better out here in the boondocks.","We appreciate you reaching out but our fishing out here sucks - We need much better Stocking of the waters.",2025
"1283","Fishing with spouse.","Water level on the MO river. Consistent water levels.","Road maintenance into fisheries.",2025
"1284","I don't fish much anymore, I just get the permit for a just incase moment, and to help NG&P by buying a permit.","Nothing at this time.",NA,2025
"1285","There is almost always a place to go nearby!",NA,NA,2025
"1286","I live in the state","Allow the lakes to fill up before regulating flows",NA,2025
"1287","Getting away and peaceful","Get more open fishing area for bank fishing","Lots of water out there and only a limited number of open fishing",2025
"1288","BEING OUTDOORS IN AN ENVIRONMENT WHERE IT IS USUALLY NOT VERY CROWDED","Develop a system to dredge out he silt in resevoirs and re-establish the depth's of water to improve fish development of both more fish & larger fish. - Possibly sell the retained fertile silt for filling in low spots in fields","I tell my grandchildren (and anyone else) that - ""It's not called ""catching "" it's called - ""fishing""!",2025
"1289",NA,"N/A","Sorry that I didn't Fill anything out! I spent alot of time this year in Canada Fishing. I Never got my Line wet in Nebraska this year! I will in 2026, I owen a place at Swson Resivor @ Trenton and I always purchase a year license. Thank you",2025
"1290","Being on the river","More river access",NA,2025
"1291","Nebraska fishing is always a good time as a family experience","No opinion.","N/A",2025
"1292",NA,NA,NA,2025
"1293","Opportunity to catch many species at Lake McConaughy","have a link on the game and fish page that shows current river flow cfs at various locations","Will NE move to mandatory boat inspections for protection from invasive species?",2025
"1294",NA,NA,NA,2025
"1295","chance to be in outdoor setting","More Bank Fishing - Public, Opportunities More Support Amenities Available, Concessions, Restaurants even at State Parks, not much Bank Access That is any Good.",NA,2025
"1296","Simple with little travel","Keep it simple","Thank you for all you do",2025
"1297","The varity of fish in our state!","Better Boat Access, outlaw wake boats on our smaller resivors.","Second year in arow that they didn't put in the dock at south boat ramp out of pure laziness on Red Willow Resivor!!!",2025
"1298",NA,NA,NA,2025
"1299",NA,NA,NA,2025
"1300","It's a family activity where we can be outdoors, taking in nature, spending time at water, and maybe bring something home.","Keep the lakes clean! Keep good fish in them.",NA,2025
"1301","Well Kept, Clean Parks. A spot to build a fire if I'm night fishing Inner city limits fishing spots.","A little more stock in the ponds and lakes in City limits. *Vending machines that sell bait would Great! That would be extremely convenient. More Public fishing spots within City area.","I have loved fishing my entire life. Therefore I hope I was some help.",2025
"1302","Closeness to home","Somehow limit ice fishing to keep numbers up",NA,2025
"1303",NA,NA,NA,2025
"1304","Being outdoors with family/friends creating memories and catching a wide variety of fish.","none",NA,2025
"1305","I don't fish a lot, mostly ice fish for the fun of it. My Survey may not be what you are looking for to get a good survey",NA,NA,2025
"1306","Relaxing outdoors",NA,NA,2025
"1307",NA,NA,NA,2025
"1308","wide range of places to fish. "" "" "" fish to catch.","More options for tournement fishing in NE I don't own a boat, so tournement fishing is not available to shore or bank fishermen","I love to fish, any improvement would be needed to sustain the fishing industry.",2025
"1309","Fishing with Friends!",NA,NA,2025
"1310","Fishing with Friends!",NA,NA,2025
"1311","Family Fun",NA,NA,2025
"1312","The variety of fish breeds available.","Reopen Carter P. Johnson at Fort Robinson State Park.","None",2025
"1313","Possibility of large walleye","Nothing",NA,2025
"1314","Possibility of large walleye","Nothing",NA,2025
"1315","Scenery","None",NA,2025
"1316","I can usually find places that aren't crowded.","More information on where fish may be biting, when and what type of lure is attracting them. If there is such a website, I don't know about it.",NA,2025
"1317","Fishing private lakes","Allow for more wardens to enforce the rules to help make public waters better","Do more of what Kansas and South Dakota are doing to provide better fisheries",2025
"1318","Everything","None","It's all good",2025
"1319","Love catching and eating Walleye",NA,"We have our own personal limit (usually way less than the bag limit) which is what we intend to eat same day. We don't fish in catch and release areas because we catch specifically to enjoy eating fresh caught fish! Thanks, God Bless & Merry Christmas!",2025
"1320",NA,NA,NA,2025
"1321","Relax and fun","Relax and enjoy  distraction",NA,2025
"1322","The outdoors and lakes.","Ya'll are doing an excellent job! Much gratitude. I just need better fishing skills. (smiley face)",NA,2025
"1323","Fees go to improve our state fishing locations","More law enforcement, especially during the spawns, to many law breakers","Fishing at Harlan County was much better this year",2025
"1324","my life time fishing license","We NEED more people to check for Fishing Licenses and boats on the water. Park closes at 11.00 pm AND boats out on the Lake when park is closed. Kid's or young Adult's hanging out in park after park closes at 11 pm. Kid are Jumping OFF the ida Street Bride and painting Graffiti under the ida St. Bridge","The city and park NEED to enforce park Laws! Park closes at 11 pm. And NO ONE comes and lock's the gate's to Flanagan lake and park? WHY put up a Gate if your not going to enforce the law!",2025
"1325","The number of Lakes and reseviors availble to fish.","leave the water levels alone Several Lakes I fish are low and when they do get a good inflow they drain it back down. To many skiers and Jetskiers on many lakes that are small and to crowded","Thank you for all you are tring to do for our fishing and rec.",2025
"1326","The opportunity to catch my preferred fish and overall access to lakes","Better management of regulations.  Thousands of walleye/saugeye have been released in to Branched Oak, Yankee Hill, Holmes and Pawnee over the past 5 years and the ability to catch one, regardless of presentation is difficult.  I feel fish are being harvested that shouldn't be or over harvested in these waters.  I can go West to some waters and catch them in Nebraska , around Lancaster county, not so much","A majority of the states population is Eastern Nebraska but the best fishing and lakes are in the West.  Fishing tournaments put on around Lancaster county affect lake populations of panfish and should be monitored.  Maybe they are, I am not sure.  Camp grounds and recreation areas (showers, bathrooms, ect.) are WAY behind South Dakota.  Lakes around Lancaster county need to be cleaned up, revamped, ect. to make the lakes more enjoyable to be at with the opportunity to take a kid fishing and actually catch something other than panfish and catfish.  Branched oak should be re-done, the possibilities could be endless and could be an attraction.  We take in a lot of money for fishing permits and habitat stamps but lake conditions and recreation areas are less than desirable.",2025
"1327","Cost","More access to waterways","Would support regulations to help prevent toxic algae blooms in waterways",2025
"1328","Fresh air, clean water & surrounding views of nature",NA,NA,2025
"1329","Its where I am so that's mostly it.","We need to keep up the areas we have better. They are run down and not getting mowed. Bathrooms are gross. There is a lot more interest in fishing and camping then there has been in the past.","More camping spots by lakes especially close to Lincoln and Omaha. Overcrowded lakes all summer for camping and fishing. I've been going to NrD lakes because they seem to be cared for better and have fewer people at them. The bathrooms at some of the state parks are so bad. They need to be maintained better. Keep more of them open and cleaned during winter for ice fishing.",2025
"1330","Being outdoors doing same stuff i enjoyed when younger",NA,NA,2025
"1331","Missouri River catfishing.","Should have a bounty on GAR and INVASIVE CARP.","We have fished the Missouri River for many years and have Been checked by Nebraska Conservation 3 times, All in 2025 and agree thats Great, Nice to see them out, But, wish they would also stop By ""Packed""""Party"" Sand Bars to check under age drinking and Ty to stop all the Littering after the Party is over, the trash left Behind IS out of control and really Pisses us OFF. Thank you!",2025
"1332",NA,"A Better under understanding what kind of fish you can use for cut bait",NA,2025
"1333",NA,NA,NA,2025
"1334","It is where I grew up and know where to fish, also, the parks are nice.","More access for older people.","Nebraska Game and parks Do a good Jod.",2025
"1335","The amount of public access to fish","Better litter control/picking up the trash more",NA,2025
"1336","We enjoy Gavins point","Yall need to improve the fish cleaning and taking at Gavins Point, Especially on the Nebraska side by Tailwater","My husband & I are Nebr. raised & it is terribly upseting with the cost of coming home to vacation or fish & the incredible cost of the park stickers, fishing license, & Camping at what we always felt were ""our"" state parks We always came to Ponca State Prk as our Children were being raised - such a fun place but the cost is too much now - add it up State Park Sticker's Camper & x-car camp site last time was $35.00 a night and and fishing license $84.00 each adult so 3-4 night stay us and (2 (license age)grand kids) for 4 days add it up a long weekend is over these grandparents heads! You have basicly Kicked us to the curb of a state that we hold dear! It seems you don't want us to come home",2025
"1337","(drawing of fish)","(smiley face)",NA,2025
"1338","everything",NA,NA,2025
"1339","It is relaxing and close to the cabin where we spend our summer vacations.","Increase number of fish in Lake Mac for better chances to catch good fish (walleye) during a fishing trip.",NA,2025
"1340","It is not Colorado. More Fish than fishermen.","No Spear Fishing for Black Bass",NA,2025
"1341","I don't fish very afound I do fish Bass Touraments Just not in NeB.",NA,NA,2025
"1342",NA,NA,NA,2025
"1343","Different temperatures in NEBR. Not always easy access from the bank. Not mowed next to water.","If a lake is over fished then the number to catch fish gets tough.","I appreciated my Senior fishing License; especially when grandchildren want to go fishing.",2025
"1344","I love to get out on the water on a nice day and catch some bass and crappie. The weather adds to the experience and I love the early morning fishing trip","Have the game wardens out at the Lakes Checking licenses and bag limits I see a lot of people with buckets of small fish. I think that hurts the fishery","Nebraska parks are beautiful and well run. I compliment the State for the work they do keeping the Lakes and resevoirs clean and well run. I really enjoy fishing in Nebraska!",2025
"1345",NA,NA,NA,2025
"1346",NA,NA,NA,2025
"1347","Relaxation.","More stocking. in Places that are not just By Lincoln or Omaha.",NA,2025
"1348",NA,NA,NA,2025
"1349","Spending time with friends and family. Fishing ponds and lakes I grew up fishing.",NA,NA,2025
"1350","usally less crowded","Provide lifetime park permits for veterans & senior citizens",NA,2025
"1351","There is really nothing other than closer drive, fishing is better in Kansas,","More regulations on all reservoirs, some have just small fish because of high population and some have no fish because no regulations being upheld.",NA,2025
"1352","Just being there. Getting out.","Nothing comes to mind.",NA,2025
"1353",NA,NA,NA,2025
"1354","fun",NA,NA,2025
"1355","Fishing in my home state.","Start increasing stocking significantly and then regulate like South Dakota. There is no reason we can't have more premier fishing resources like they do. If you build it, they will come, and that state has proven it time and time again with fishing.","It's disappointing having to travel to South Dakota and other out of state destinations for premier fishing opportunities when Nebraska has bodies of water that could hold and produce similar. Potentially look at developing more bodies of water in those type of habitats.",2025
"1356",NA,NA,NA,2025
"1357",NA,NA,NA,2025
"1358",NA,NA,NA,2025
"1359","The pepole","Make them throw them back","NO free fishing days Limit the numbers that you keep Triple all fines for being over limit Treat all tournaments like they do on TV amedit Relays .vot to any dock an . you find 40% Floating in the coves the .next day",2025
"1360","The challenge of fishing the Missouri River","You should Be able to use minnow's where ever you fish in the lake's",NA,2025
"1361","I like to White bass fish.",NA,NA,2025
"1362","Being out by the water","Stocking of fish in lakes","Some State lakes are a lot nicer and better taken care of than others after going to some that aren't it's like this place is not worth buying a permit to go into because it's not well taken care of . Thank you",2025
"1363","If I catch fish other than Small Sunfish. Being Outside, Enjoying the land.","More free public River Access, Easy Rules Wisconsin & Minnesota have more public River Access & better fishing. (Loved it there!) Love fishing!","I like that your doing surveys! and I do think its easier to fish I you don't have to remember all the Rules. I wish there were more River fishing spots open to Public. you used to able to fish all over (under bridges) but now all Rivers aren't open like he used to be. You can get tresspassing tickets now, you have to pay for everywhere now, and no Access like before. Should be able to go fish a River without having to pay to get to River Bank. Theres Nothing Free any more?! My Mother hated Fish because wen She was young that ate Fish alot cuz it was free (she had 12 Kids in Her family.) my mom was the oldest. than her dad died. All Kids went to orphanage in Lincoln, she joined Service to get out of it. Couple of her older brothers ran away. to not go to rphanage we have a picture of all the Kids there sitting on front steps, found a mub puppy in Wi. Haven't seen one since I was young! fun! (smiley face) Never Know What you will catch out of Rivers",2025
"1364",NA,NA,NA,2025
"1365","A wide verity of type of fish you can fish for.","Maybe do something with smaller lakes with the moss around the edges so people like me that fish from the bank can fish more.",NA,2025
"1366","Ease of access","More brushing Projects in aging lakes, Texas shdren./unicer state program for WAE, MVE, LMB SMB, stock fewer larger fish instead of more fingerlings, stop killing lakes for carp and mussels, SD has them and doesn't manage, but their fishing is drasticallybetter than here.","- follov the iowa or SD fisheries model.",2025
"1367","Ease of access","More brushing Projects in aging lakes, Texas shdren./unicer state program for WAE, MVE, LMB SMB, stock fewer larger fish instead of more fingerlings, stop killing lakes for carp and mussels, SD has them and doesn't manage, but their fishing is drasticallybetter than here.","- follov the iowa or SD fisheries model.",2025
"1368","We camp alot with my 4 kids. We all enjoy fishing for the fun of it. We do not keep anything but do it purely for fun.","Would like to see a better public dock on lewis & Clark lake","Parks & Ponds we visited this summer were great!",2025
"1369","I know the spots and times to best avoid encountering Game and Parks Officials","I can get in trouble for breaking some dumb rule, like not registering a KAYAK!!! But there will be a billion immigrants on the bank, keeping every fish they catch.",NA,2025
"1370","It’s Nebraska","Keep up the good work",NA,2025
"1371",NA,NA,NA,2025
"1372","It's Relaxing. Quiet",NA,NA,2025
"1373",NA,NA,NA,2025
"1374","Being outdoors. Breathing in fresh clean air. Catching and eating trout, walleye, or perch. I catch and release any other fish I catch.","None.",NA,2025
"1375","Everything!!","More handicap accessible areas - very hard to fish if handicapped.","Just need more handicap areas - daughter has electric wheelchair and very few places and husband is 100% blind - hard to find right places to fish.",2025
"1376","I enjoy fishing anywhere!","No suggestions",NA,2025
"1377",NA,NA,NA,2025
"1378","I like the idea of fishing and I support it when buying my license. To be honest I havent been fishing for about 6 years. I allways have the intent of going but something seems to come up.",NA,"I made my comments on inside page near the bottom",2025
"1379","Filling out questionaires about it.","Don't include me.","I'll send this in.",2025
"1380","At swanson I do great when I fish, plus its nice to let my dog run, pet peeve, Boaters parking where I'm fishing and people not picking up after themselves, pulling fishingline off of animals, those people need to be fined especially at swanson, a beautifl lake to enjoy","Just keep lakes stocked patrol more even in off peak month Let's do better every one","Like I said elimate lazy people who leave trash, for other people to pick up I'm going to start writing Lic Plate Numbers also stop by more to check passes and fishing licenses, too many get away with it park manager at swanson does good job, also fix roas better, and grade roads more, for a greater experience.",2025
"1381",NA,"Walgreen Lake need water in it and I would probably start fishing more. that is the reason I did not fish in the 24 & 25 season.","Do something about Walgren Lake south of hay springs. Use to fish all the time til it dried up.",2025
"1382",NA,NA,NA,2025
"1383","Its close to home. Very well managed. Kramper lake in Hubbard, Ne","Keep NFG doing a good job.","Check the water for possible perch in Kramper lake They would be very wellcome... and fun. Bring back the Oxbow lake. I plan on more fishing in 26. Thank You",2025
"1384",NA,NA,NA,2025
"1385","Getting out with family - catching fish is a bonus",NA,"Enjoy fishing in Nebraska ponds and resevoirs and The variety of fish available To Catch. In my younger years I usually Kept the fish I caught for eating. As I aged, catch & release is great satisfaction",2025
"1386",NA,NA,"I appreciate you people asking for people's opinions and thoughts. I would really like to see more young people fishing.",2025
"1387","The beauty of our state. Seeing different species of not only fish, but birds, and animals.","Stock more walleye on western end of state!",NA,2025
"1388",NA,NA,NA,2025
"1389","Diversity of fishing opportunities",NA,NA,2025
"1390",NA,"No one should Fish at any lake During spawn season. Not along the Dam.",NA,2025
"1391","Eating what we catch.",NA,NA,2025
"1392","non.","More Lake",NA,2025
"1393","I fish Wanahoo, its a nice size lake, but it gets overfished Nebraska has very few bodies of water that can handle pressure, live scope will ruin our laks Believe most cannot reproduse to the pressure Live scope will  ultimately ruin our lakes because of here size - Its happening in Minnesota & South Dakota as well","80 percent of our lakes are small. 1 fish limits are the only way to save our lakes. Our streams are fine. I fished Wanahoo from the time it opened I went 4 times this last season and did not boat a fish.","I love to fish, I hate that technology is going to ruin fishing. I fish Northern Minnesota, Leech Lake has been ruined by live scope. Guides are nervous there going to loose there jobs. I own Northwoods Taxidermy in Elkhorn I now go to Wanahoo to bird wath. Because I never catch fish there, so I go to relax I have a beautiful boat, I catch tons of pike & muskie up North. Nothing here anymore hate to be negative. But its the truth truth",2025
"1394","I Live here.","Do something about the Wipers. They have destroyed the White Bass fishing. Harlan Co. Reservoir used to have great White Bass fishing, Not any more. The wipers are breeding up the River, eating all the White Bass. I won't go to Harlen anymore. The wipers re destroying the fishing at Swanson Reservoir also. All lakes with Wipers Have gone downhill.",NA,2025
"1395",NA,NA,NA,2025
"1396","The outdoors and mostly clean lakes","Definitely more litter signs","Maybe cheaper day passes for fishing",2025
"1397","The challenge/experience","Quit trying to make everything so accessible.","I believe these live scopes are going to ruin a bunch of populations of fish and year classes which will result in poor fishing experiences later on down the road.",2025
"1398","Good fishing",NA,"Good",2025
"1399",NA,NA,NA,2025
"1400",NA,NA,NA,2025
"1401","Im able to angle locally for entertainment mostly.","Ensure the environment is thriving.","Just keep doing what you do!!",2025
"1402","Taking my sons","Make it Cheaper",NA,2025
"1403","Having access to nearby lakes",NA,NA,2025
"1404","I usually catch something and I like being outdoors.","None, I like it the way it is.","I've never had a problem with the Rules and Regulations. always follow them even if they change. Get a book every year!",2025
"1405","The variety of Fish and Lakes. Do wish more Pan Fish were available For young ones","more Fish strtors in Iragation Lakes","Would like to see more Pan fish for young ones (Parch & Blue Giles)",2025
"1406","I have 2 young kids.  There are a few spots that I can easily access where I know they will catch something and get excited about being outside.  The 30 min to an hour with them fishing and catching beats any other activity we do all year.","Give me a boat :-)  just kidding.  I think keepings Platte River state park stocked with a variety of fish has kept myself and my family very happy.  Big fish, small fish- it has everything for such a small lake.  Great work!!!","none",2025
"1407","I live here.","A lot of water bodies need cleaned up.",NA,2025
"1408",NA,NA,NA,2025
"1409","The variety of waters to fish which makes for a wide variety of fish to catch","Ease up on some of the limits like for catfish and other species that are plentiful. When there's too many fish in an area they can't get big due to competition.",NA,2025
"1410","Walleye Opportunities","No specifics you guys are the professionals",NA,2025
"1411",NA,NA,NA,2025
"1412","We have beautiful well kept parks. I do wish Zorinsky would have a kayak launch. Thank you for all your hard work. The lake was my salvation during the pandemic and whenever I need a boost of nature. The parks have a good selection of fish!","Maybe more docks to fish from.",NA,2025
"1413","The experinese. The experience.","nothing nothing",NA,2025
"1414",NA,"I improve the docks & parking at Sutherland Res",NA,2025
"1415","Variety of species",NA,NA,2025
"1416",NA,"Stock more game fish and improve fish habitat in our reservoirs","(1) We live on Johnson Lake and it has always been a a relatively good white bass lake, but in 2025 we did not catch a single white bass. What happened to them? (2) We have for many years Traveled To the Valentine Wildlife Refuge To fish for primarily Norhern Pike and largemouth. We feel That Game & Parks has completely screwed That up with Their management philosophy. It is a real shame!",2025
"1417",NA,NA,NA,2025
"1418",NA,NA,NA,2025
"1419","The chance to get outdoors and relax.",NA,NA,2025
"1420",NA,NA,NA,2025
"1421","I don’t like fishing in Nebraska, but this is where I live.  By far, my most successful fishing trips are out of state.","Stock more walleye.  Eastern Nebraska needs a good walleye lake.",NA,2025
"1422","The closeness of waters to my address","More species in local lakes i.e. strippers or wipers.",NA,2025
"1423","I only fish when I take my grandsons. I like lakes that are easy and safe to fish from the bank. I like the lakes with lots of bluegill for the kids to catch. A 6"" bluegill to a 3-foot kid is the same as a 12"" fish is to a 6-foot man.",NA,"For the few times I would use a state park the cost of the permit just isn't worth it. And I dont like the system of needing another permit for a different vehicle. I would prefer a permit system like that used for the national parks. I don't think peoplefrom out of state should be charged more than Nebraskans. I was so embarrassed when I took our Oregon friends to Ashfall and they were charged more than me. I won't do that again.",2025
"1424","It's good fishing!",NA,NA,2025
"1425","being outdoors on or near the water","restrict high speed boating on the better fishing lakes or areas on lakes","keep up the great work",2025
"1426","Lakes are organized!!","None","I couc the otters I believe we don't have to kill them.",2025
"1427",NA,NA,NA,2025
"1428","Good Lakes",NA,NA,2025
"1429","Good Lakes",NA,NA,2025
"1430","Its where I live",NA,NA,2025
"1431",NA,NA,NA,2025
"1432",NA,NA,NA,2025
"1433","not catching troudt","I've been happy with my experience the way the lakes are.","Please leave troudt out",2025
"1434","not catching troudt","I've been happy with my experience the way the lakes are.","Please leave troudt out",2025
"1435","The fun of it. I'm only here during planting and harvest and this year we were to busy to fish, maybe next year",NA,NA,2025
"1436","It is just fun to go and take the grandkids.","Just the size limit","Don't have any. Just keep up the good work.",2025
"1437","The many different species across the many different lakes makes it more entertaining.","Hire more conservation officers to enforce existing laws. Department is stretched too thin especially in summer months which allows boating and fishing infractions to sometimes go un-noticed/un-enforced. This is in NO WAY a reflection of current officers nability, but more a reflection of officers expected to do too much w/ too little.",NA,2025
"1438",NA,NA,NA,2025
"1439","I catch something everytime I fish in Nebraska! Love Nebraska fishing!",NA,NA,2025
"1440",NA,NA,NA,2025
"1441",NA,"Need to do a better job of stocking - less money for parks and more to the fishery for stocking",NA,2025
"1442",NA,NA,NA,2025
"1443","# of ponds and lakes to take young kids fishing - and having success.",NA,NA,2025
"1444","Being on the water with friends & family.","cleaner water, better boat ramps & access.",NA,2025
"1445","I enjoy catching all The different species in Nebraska.","I like fishing for crappie & Walleye, so need more of Them to make me happy.",NA,2025
"1446",NA,NA,NA,2025
"1447",NA,NA,NA,2025
"1448","Still figuring that out","Grow more crappie and walleye trout are mushy and nasty",NA,2025
"1449",NA,NA,NA,2025
"1450","Just being able to be outdoors.","More lakes",NA,2025
"1451",NA,NA,NA,2025
"1452",NA,NA,NA,2025
"1453",NA,NA,NA,2025
"1454","Being away from people and enjoying nature.","Dealing with the algae and water plant problems in the summer.  I understand run off from fields is a complicated issue.  It would improve the fishing experience.  A fair number of lakes and ponds get effectively closed due to plant growth.",NA,2025
"1455","Being away from people and enjoying nature.","Dealing with the algae and water plant problems in the summer.  I understand run off from fields is a complicated issue.  It would improve the fishing experience.  A fair number of lakes and ponds get effectively closed due to plant growth.",NA,2025
"1456",NA,NA,"Never went fishing going to try and go who sea need a boat am I dry have one",2025
"1457",NA,NA,NA,2025
"1458","Being outside with friends",NA,NA,2025
"1459","My favorite spot is very close to my home","I trust the game and parks to make improvments","Fishing at my favorite spot is as exciting as anything I do",2025
"1460",NA,NA,NA,2025
"1461","Ice fishing. Global Warming is destroying Ice fishing.","Fix the Climate Change. Too Hot to fish in the summer and hunting & shorting the Ice fishing","Work on fixing the Climate Change.",2025
"1462",NA,NA,NA,2025
"1463",NA,NA,NA,2025
"1464","HAVE FUN FISHING",NA,NA,2025
"1465",NA,"Raise rates on out of state boaters to make it more accesible to to instate boaters & fishing.","Get rid of the regulations on camping sites.",2025
"1466","Everything cause its better than work.",NA,NA,2025
"1467","Taking grand kids to Prarie Queen lake for sunfish & bass","I feel fishing is good. keep up the good work.","I generally only fish in Nebraska with my grand children.",2025
"1468",NA,NA,NA,2025
"1469","Close to home",NA,"There needs to be significant education and stress on anglers cleaning up after themselves.  The trash, tackle and line left lakeside by anglers ruins lakes, puts wildlife at risk and gives anglers a VERY bad name.",2025
"1470","I enjoy the cold stream rejuvanation projects & Trout waters my favorite place is Long Pine & PINE Glen WMA","Keep expanding Cold stream water projects and more access To Cold streams that can house Trout more Brown's More Brookie's","I liked the CutBow Hybrids in lake ogella & the Cannal They grew Rapidly and was a pleaser to catch.",2025
"1471","Close to home","None",NA,2025
"1472","not overly hurased by wardens most lakes have decient members areas are mostly clean I don't have to drive very far ..",NA,"This survey too way to long!",2025
"1473","Relaxing",NA,NA,2025
"1474","Just enjoy getting out not doing much of anything little fishing cooking outside go for a walk just enjoying the outdoors. We need more handycap spot for Seniors","Need parking closer to water for Seniors Its hard carrying chair, fishing poles and tacklebox and walk with a cane.",NA,2025
"1475","The relaxing and beauty","Nothing I enjoy getting out and to relax sometimes with the Grandkids","I enjoy looking at the parks and the way they keep them clean Thank You",2025
"1476",NA,NA,NA,2025
"1477","Fishing for Walleyes out west or fishing private sandpits.","Stock more walleyes in places","Flood Ashland, and make the best fishery in the US outside of Lake Erie.",2025
"1478",NA,"More stocking of trout in city hokes (omaha)","Didn't fish verry much Last year",2025
"1479",NA,"Park closure hours exempt for fishing",NA,2025
"1480","They joy of fishing and love of outdoors. Love the outdoors.",NA,"I sure regret not being able to enjoy the great outdoors. Due to unseen sercumstances we were not able to go this year because of illness it was a waste of our hard earned money. Hopeing & praying that this year will be better and we can afford a wonderfu experienes next year.",2025
"1481","catch fish","none",NA,2025
"1482",NA,NA,NA,2025
"1483","I can catch fish close to home. It is much better now then when I was young.",NA,NA,2025
"1484","outdoors / catching fish Being together",NA,NA,2025
"1485","Many different species",NA,NA,2025
"1486","I enjoy the care Nebraska takes in caring for public lands.",NA,NA,2025
"1487","Nature!!!",NA,NA,2025
"1488","the well maintain lakes","0",NA,2025
"1489",NA,NA,NA,2025
"1490","Usually we catch fish! I like to primitive camp but sometimes electrical. I appreciate CLEAN Bathrooms and showers.","Some lakes do not have access to fish from shore. More access please Some places need water to clean up! or drink!",NA,2025
"1491","Been fishing since I was a child. I have taken my son and grand children fishing its a great peaceful get away. Now I take my son who is disabled to many times as I can great time spent with family",NA,NA,2025
"1492","Time with grandchildren.",NA,NA,2025
"1493","fishing in Nebraska is close to my home.",NA,"Fishing at Lake Wanahoo has not been very good the last two years.",2025
"1494","We usually go fishing in the early morning and not on weekends - there are never vary many fishing at that time.","Keep the reservoirs at least 3/4 full. Not being able to launch a boat or having so much moss that you can't fish is not conducive to a good fishing trip.","Better docks and ramps would be helpful. Make the lakes more accessible from the shoreline so people without boats can enjoy the lakes more.",2025
"1495",NA,NA,NA,2025
"1496","Cabelas","Catch the illegals","Dont forget the thieving bait getters elm creek river diversion 4th of July north side gate west",2025
"1497","The variety of lakes from man-made reservoirs and dammed up rivers to natural sandhills lakes.","There are many, many, wonderful parks and public lakes where access could be greatly improved. Especially lakes created by smaller entities like NRDs offer great fishing opportunities but very poor access, especially for bank fishermen. Many of the newer parks have great shore access but require a very long walk to get to the access points when there should have been parking lots created.","The low water levels have drastically effected fishing the last two years. I have noticed a decline in fish quality at multiple lakes I have fished for years. Water quality and structure has been destroyed at several lakes as well.",2025
"1498","I don't have time to go very far, so we fish mostly at Swanson Res., I am disapointed that the numbers of crappie and wipers have dissappeared. also the white bass are always small and thin. It's hard to catch waleye. It's a great Lake if all you want to atch is blue cat and channel cat.","I. wish that you could keep more water in Swanson Res. also if you are stocking this lake with wipers/waleyes thankyou, but we don't have much luck with either.",NA,2025
"1499",NA,NA,NA,2025
"1500","Not Much!","Improve handicap sites it's hard to make suggestions on things you don't have. Fishing in this corner of Nebraska without traveling long distances. Campsites are hard to Find and crowded.","It is hard to work up a desire to go fishing as because of the lack of good fishing and camping sites and if you do find one the fishing is poor. It is a little better West of Lincoln",2025
"1501","The thrill of one on my line, fresh air & peace","Maybe paved roads to elderly people w/cars can get closer to the lakes.",NA,2025
"1502",NA,NA,NA,2025
"1503","Fishing locations are close, Never crowded locations.","More in lakes. Fine the people who litter, esp leaving line pieces laying around.",NA,2025
"1504","Ice fishing","More yellow perch More walleye fishing Better walleye fishing",NA,2025
"1505","Decent Walleye Population",NA,NA,2025
"1506","I like fishing with my kids and spending time outdoors. I really like fishing and trying to catch fish.","More regulations on agricultural waste and chemicals that make it into the water.","I would fish and take my family fishing even if we never caught anything. I don't eat fish, so I never keep anything and we always go around and pick up litter and trash from other people to try and keep lakes clean and safe.",2025
"1507","The multiple bodies of water to choose in which to fish","I wish more bank fishing points were maintained and kept clear to allow for more fishing opportunities around my local lakes.  Many lakes around here have crowded fishing spots because a lot of the bank is covered in overgrowth making it inaccessible and hard or impossible to cast from.  Lake Flanagan in particular has multiple points that look like they are meant to be fished from but the vegetation makes it impossible to get close to the water and rather hard to cast without your rod or fishing line getting caught up in the growth.","The state should do more to promote a ""leave no trace"" mindset among anglers. I often find fishing spots littered with gloves or tackle and bait packaging.  This not only leaves that spot littered for the next person, but it also causes harm to the water and the fish in it.",2025
"1508","Close to home.","More fishing Ramps to sit on. For fishing from banks of Lakes & Rivers. more bait shops. close to fishing spots.","The grass could be shorter close to the waters. Some places have a lot of weeds. Hard to get next to the waters with weeds. It's always fun to fish in Nebraska. My Grankids love it. We have taught them to fish & have fun. It doesn't matter how many fish tey catch as long as we are having fun. Thank you Sue",2025
"1509",NA,NA,NA,2025
